"","samplingYear","CharacteristicName","AnnualMedian","AnnualMean","AnnualCount","AnnualSD","Annuallower_ci","Annualupper_ci","site","Park"
"36","2016","Temperature, water",17.9,15.6,6,8.28,6.92,24.28,"MICR","GWMP"
"37","2017","Salinity",0.37,0.42,11,0.13,0.33,0.51,"MICR","GWMP"
"38","2017","Specific conductance",762.3,849.87,11,261.36,674.29,1025.46,"MICR","GWMP"
"39","2017","Temperature, water",14.2,12.3,11,7.27,7.42,17.18,"MICR","GWMP"
"40","2018","Salinity",0.39,0.4,12,0.04,0.37,0.43,"MICR","GWMP"
"41","2018","Specific conductance",787.8,807.75,12,87.56,752.12,863.38,"MICR","GWMP"
"42","2018","Temperature, water",12,13.17,12,6.55,9.01,17.33,"MICR","GWMP"
"43","2019","Salinity",0.4,0.35,9,0.1,0.28,0.43,"MICR","GWMP"
"44","2019","Specific conductance",823,725.83,9,192.19,578.1,873.56,"MICR","GWMP"
"45","2019","Temperature, water",10.3,12.19,9,7.48,6.44,17.94,"MICR","GWMP"
"46","2020","Salinity",0.35,0.36,6,NA,NA,NA,"MICR","GWMP"
"47","2020","Specific conductance",714,730.67,6,NA,NA,NA,"MICR","GWMP"
"48","2020","Temperature, water",8.2,9.23,6,NA,NA,NA,"MICR","GWMP"
"49","2021","Salinity",0.35,0.36,6,0.13,0.23,0.5,"MICR","GWMP"
"50","2021","Specific conductance",711.5,742.5,6,244.29,486.14,998.86,"MICR","GWMP"
"51","2021","Temperature, water",12.4,12.73,6,7.39,4.98,20.49,"MICR","GWMP"
"52","2022","Salinity",0.37,0.37,5,0.03,0.33,0.41,"MICR","GWMP"
"53","2022","Specific conductance",746,759.2,5,71.64,670.25,848.15,"MICR","GWMP"
"54","2022","Temperature, water",14.2,11.7,5,7.38,2.53,20.87,"MICR","GWMP"
"55","2023","Salinity",0.26,0.28,3,0.07,0.11,0.45,"MICR","GWMP"
"56","2023","Specific conductance",529,581,3,131.92,253.28,908.72,"MICR","GWMP"
"57","2023","Temperature, water",9.4,11.2,3,7.27,-6.86,29.26,"MICR","GWMP"
"58","2004","Specific conductance",322.6,322.6,1,NA,NA,NA,"TURU","GWMP"
"59","2005","Salinity",0.19,0.25,5,0.12,0.11,0.39,"TURU","GWMP"
"60","2005","Specific conductance",401.2,472.49,7,179.09,306.85,638.12,"TURU","GWMP"
"61","2005","Temperature, water",17.7,13.51,7,6.88,7.15,19.88,"TURU","GWMP"
