"","samplingYear","SubjectTaxonomicName","TotalCount","site","Park"
"592","2022","Catostomus commersonii",23,"WOTR","WOTR"
"593","2022","Clinostomus funduloides",7,"WOTR","WOTR"
"594","2022","Etheostoma olmstedi",20,"WOTR","WOTR"
"595","2022","Eurycea bislineata",37,"WOTR","WOTR"
"596","2022","Lepomis auritus",6,"WOTR","WOTR"
"597","2022","Lepomis cyanellus",17,"WOTR","WOTR"
"598","2022","Lepomis gibbosus",4,"WOTR","WOTR"
"599","2022","Lepomis macrochirus",1,"WOTR","WOTR"
"600","2022","Luxilus cornutus",27,"WOTR","WOTR"
"601","2022","Notropis procne",5,"WOTR","WOTR"
"602","2022","Rhinichthys atratulus",244,"WOTR","WOTR"
"603","2022","Rhinichthys cataractae",28,"WOTR","WOTR"
"604","2022","Semotilus atromaculatus",57,"WOTR","WOTR"
"605","2008","Anguilla rostrata",6,"SVPS","ROCR"
"606","2008","Catostomus commersonnii",3,"SVPS","ROCR"
"607","2008","Rhinichthys atratulus",366,"SVPS","ROCR"
"608","2008","Rhinichthys cataractae",8,"SVPS","ROCR"
"609","2009","Anguilla rostrata",3,"BAKE","ROCR"
"610","2022","Anguilla rostrata",36,"BAKE","ROCR"
"611","2022","Cambarus bartonii",2,"BAKE","ROCR"
"612","2022","Eurycea bislineata",3,"BAKE","ROCR"
"613","2006","Rhinichthys atratulus",239,"OXRU","NACE"
"614","2013","Ameiurus nebulosus",2,"OXRU","NACE"
"615","2013","Anguilla rostrata",66,"OXRU","NACE"
"616","2013","Campostoma anomalum",1,"OXRU","NACE"
"617","2013","Catostomus commersonnii",1,"OXRU","NACE"
"618","2013","Etheostoma blennioides",5,"OXRU","NACE"
"619","2013","Etheostoma olmstedi",45,"OXRU","NACE"
"620","2013","Fundulus diaphanus",169,"OXRU","NACE"
"621","2013","Fundulus heteroclitus",378,"OXRU","NACE"
"622","2013","Gambusia holbrooki",52,"OXRU","NACE"
"623","2013","Hybognathus regius",1462,"OXRU","NACE"
"624","2013","Lepomis auritus",46,"OXRU","NACE"
"625","2013","Lepomis gibbosus",73,"OXRU","NACE"
"626","2013","Lepomis macrochirus",23,"OXRU","NACE"
"627","2013","Lepomis megalotis",10,"OXRU","NACE"
"628","2013","Micropterus salmoides",8,"OXRU","NACE"
"629","2013","Notropis hudsonius",29,"OXRU","NACE"
"630","2013","Pimephales notatus",6,"OXRU","NACE"
"631","2022","Ameiurus natalis",1,"OXRU","NACE"
"632","2022","Anguilla rostrata",97,"OXRU","NACE"
"633","2022","Campostoma anomalum",6,"OXRU","NACE"
"634","2022","Catostomus commersonii",1,"OXRU","NACE"
"635","2022","Crayfish",1,"OXRU","NACE"
"636","2022","Etheostoma blennioides",2,"OXRU","NACE"
"637","2022","Etheostoma olmstedi",32,"OXRU","NACE"
"638","2022","Fundulus diaphanus",339,"OXRU","NACE"
"639","2022","Fundulus heteroclitus",141,"OXRU","NACE"
"640","2022","Gambusia holbrooki",56,"OXRU","NACE"
"641","2022","Hybognathus regius",183,"OXRU","NACE"
"642","2022","Lepomis auritus",48,"OXRU","NACE"
"643","2022","Lepomis macrochirus",1,"OXRU","NACE"
"644","2022","Lepomis megalotis",1,"OXRU","NACE"
"645","2022","Menidia/membras sp.",4,"OXRU","NACE"
"646","2022","Micropterus dolomieu",1,"OXRU","NACE"
"647","2022","Micropterus salmoides",5,"OXRU","NACE"
"648","2022","Rhinichthys atratulus",3,"OXRU","NACE"
"649","2004","Ameiurus natalis",3,"ACCK","NACE"
"650","2004","Ameiurus nebulosus",82,"ACCK","NACE"
"651","2004","Anguilla rostrata",4,"ACCK","NACE"
"652","2004","Catostomus commersonnii",1,"ACCK","NACE"
"653","2004","Erimyzon oblongus",56,"ACCK","NACE"
"654","2004","Etheostoma olmstedi",41,"ACCK","NACE"
"655","2004","Fundulus diaphanus",88,"ACCK","NACE"
"656","2004","Gambusia affinis",510,"ACCK","NACE"
"657","2004","Lampetra aepyptera",1,"ACCK","NACE"
"658","2004","Lepomis cyanellus",20,"ACCK","NACE"
"659","2004","Lepomis gibbosus",17,"ACCK","NACE"
"660","2004","Lepomis macrochirus",13,"ACCK","NACE"
"661","2004","Notemigonus crysoleucas",1,"ACCK","NACE"
"662","2004","Petromyzon marinus",7,"ACCK","NACE"
"663","2004","Rhinichthys atratulus",4,"ACCK","NACE"
"664","2004","Semotilus atromaculatus",49,"ACCK","NACE"
"665","2004","Umbra pygmaea",25,"ACCK","NACE"
"666","2013","Ameiurus natalis",1,"ACCK","NACE"
"667","2013","Anguilla rostrata",5,"ACCK","NACE"
"668","2013","Catostomus commersonnii",17,"ACCK","NACE"
"669","2013","Erimyzon oblongus",9,"ACCK","NACE"
"670","2013","Etheostoma olmstedi",9,"ACCK","NACE"
"671","2013","Gambusia holbrooki",19,"ACCK","NACE"
"672","2013","Lepomis cyanellus",8,"ACCK","NACE"
"673","2013","Lepomis gibbosus",14,"ACCK","NACE"
"674","2013","Lepomis macrochirus",3,"ACCK","NACE"
"675","2013","Semotilus atromaculatus",5,"ACCK","NACE"
"676","2013","Umbra pygmaea",10,"ACCK","NACE"
"677","2013","Anguilla rostrata",6,"HECR","NACE"
"678","2013","Campostoma anomalum",229,"HECR","NACE"
"679","2013","Catostomus commersonnii",7,"HECR","NACE"
"680","2013","Clinostomus funduloides",2,"HECR","NACE"
"681","2013","Cyprinella analostana",36,"HECR","NACE"
"682","2013","Etheostoma olmstedi",101,"HECR","NACE"
"683","2013","Fundulus heteroclitus",11,"HECR","NACE"
"684","2013","Lepomis auritus",77,"HECR","NACE"
"685","2013","Lepomis cyanellus",2,"HECR","NACE"
"686","2013","Lepomis macrochirus",6,"HECR","NACE"
"687","2013","Margariscus margarita",6,"HECR","NACE"
"688","2013","Notropis procne",191,"HECR","NACE"
"689","2013","Rhinichthys atratulus",391,"HECR","NACE"
"690","2013","Rhinichthys cataractae",90,"HECR","NACE"
"691","2013","Semotilus atromaculatus",107,"HECR","NACE"
"692","2022","Anguilla rostrata",13,"HECR","NACE"
"693","2022","Campostoma anomalum",89,"HECR","NACE"
"694","2022","Catostomus commersonii",38,"HECR","NACE"
"695","2022","Clinostomus funduloides",9,"HECR","NACE"
"696","2022","Cyprinella analostana",6,"HECR","NACE"
"697","2022","Etheostoma olmstedi",38,"HECR","NACE"
"698","2022","Eurycea bislineata",1,"HECR","NACE"
"699","2022","Faxonius limosus",2,"HECR","NACE"
"700","2022","Lepomis auritus",152,"HECR","NACE"
"701","2022","Lepomis cyanellus",18,"HECR","NACE"
"702","2022","Lepomis macrochirus",1,"HECR","NACE"
"703","2022","Micropterus salmoides",2,"HECR","NACE"
"704","2022","Notropis procne",27,"HECR","NACE"
"705","2022","Procambarus clarkii",8,"HECR","NACE"
"706","2022","Rhinichthys atratulus",17,"HECR","NACE"
"707","2022","Semotilus atromaculatus",52,"HECR","NACE"
"708","2022","Umbra pygmaea",1,"HECR","NACE"
"709","2004","Anguilla rostrata",8,"STCK","NACE"
"710","2004","Carassius auratus",3,"STCK","NACE"
"711","2004","Catostomus commersonnii",17,"STCK","NACE"
"712","2004","Clinostomus funduloides",1,"STCK","NACE"
"713","2004","Etheostoma olmstedi",38,"STCK","NACE"
"714","2004","Exoglossum maxillingua",2,"STCK","NACE"
"715","2004","Fundulus heteroclitus",32,"STCK","NACE"
"716","2004","Lepomis auritus",1,"STCK","NACE"
"717","2004","Lepomis gibbosus",9,"STCK","NACE"
"718","2004","Lepomis macrochirus",3,"STCK","NACE"
"719","2004","Micropterus salmoides",1,"STCK","NACE"
"720","2004","Notropis procne",19,"STCK","NACE"
"721","2004","Rhinichthys atratulus",120,"STCK","NACE"
"722","2004","Rhinichthys cataractae",10,"STCK","NACE"
"723","2004","Semotilus atromaculatus",19,"STCK","NACE"
"724","2013","Ameiurus natalis",6,"STCK","NACE"
"725","2013","Anguilla rostrata",68,"STCK","NACE"
"726","2013","Catostomus commersonnii",3,"STCK","NACE"
"727","2013","Cyprinella spiloptera",29,"STCK","NACE"
"728","2013","Erimyzon oblongus",1,"STCK","NACE"
"729","2013","Etheostoma olmstedi",91,"STCK","NACE"
"730","2013","Fundulus diaphanus",19,"STCK","NACE"
"731","2013","Gambusia holbrooki",26,"STCK","NACE"
"732","2013","Lepomis auritus",7,"STCK","NACE"
"733","2013","Lepomis cyanellus",1,"STCK","NACE"
"734","2013","Lepomis macrochirus",26,"STCK","NACE"
"735","2013","Notropis buccatus",3,"STCK","NACE"
"736","2013","Notropis procne",55,"STCK","NACE"
"737","2013","Rhinichthys atratulus",93,"STCK","NACE"
"738","2013","Rhinichthys cataractae",11,"STCK","NACE"
"739","2013","Semotilus atromaculatus",58,"STCK","NACE"
"740","2022","Anguilla rostrata",59,"STCK","NACE"
"741","2022","Campostoma anomalum",3,"STCK","NACE"
"742","2022","Catostomus commersonii",3,"STCK","NACE"
"743","2022","Crayfish",1,"STCK","NACE"
"744","2022","Cyprinella spiloptera",2,"STCK","NACE"
"745","2022","Etheostoma olmstedi",66,"STCK","NACE"
"746","2022","Eurycea bislineata",18,"STCK","NACE"
"747","2022","Faxonius sp.",1,"STCK","NACE"
"748","2022","Micropterus salmoides",2,"STCK","NACE"
"749","2022","Notropis hudsonius",11,"STCK","NACE"
"750","2022","Notropis procne",5,"STCK","NACE"
"751","2022","Noturus insignis",3,"STCK","NACE"
"752","2022","Rhinichthys atratulus",75,"STCK","NACE"
"753","2022","Rhinichthys cataractae",51,"STCK","NACE"
"754","2022","Semotilus atromaculatus",27,"STCK","NACE"
"755","2022","Semotilus corporalis",2,"STCK","NACE"
"756","2022","Umbra pygmaea",1,"STCK","NACE"
"757","2004","Cottus spp.",435,"SHCK","ANTI"
"758","2004","Micropterus salmoides",3,"SHCK","ANTI"
"759","2004","Oncorhynchus mykiss",10,"SHCK","ANTI"
"760","2004","Rhinichthys atratulus",171,"SHCK","ANTI"
"761","2006","Catostomus commersonnii",3,"SHCK","ANTI"
"762","2006","Cottus spp.",239,"SHCK","ANTI"
"763","2006","Oncorhynchus mykiss",1,"SHCK","ANTI"
"764","2006","Rhinichthys atratulus",81,"SHCK","ANTI"
"765","2013","Cottus spp.",342,"SHCK","ANTI"
"766","2013","Rhinichthys atratulus",37,"SHCK","ANTI"
"767","2022","Cambarus bartonii",17,"SHCK","ANTI"
"768","2022","Campostoma anomalum",1,"SHCK","ANTI"
"769","2022","Cottus cognatus",393,"SHCK","ANTI"
"770","2022","Crayfish",2,"SHCK","ANTI"
"771","2022","Desmognathus fuscus",3,"SHCK","ANTI"
"772","2022","Eurycea bislineata",31,"SHCK","ANTI"
"773","2022","Pseudotriton ruber",1,"SHCK","ANTI"
"774","2022","Rana clamitans",1,"SHCK","ANTI"
"775","2022","Rhinichthys atratulus",23,"SHCK","ANTI"
"776","2022","Salmo trutta",6,"SHCK","ANTI"
"777","2011","Anguilla rostrata",1,"TARU","PRWI"
"778","2011","Catostomus commersonnii",19,"TARU","PRWI"
"779","2011","Clinostomus funduloides",55,"TARU","PRWI"
"780","2011","Etheostoma olmstedi",3,"TARU","PRWI"
"781","2011","Exoglossum maxillingua",10,"TARU","PRWI"
"782","2011","Lepomis gibbosus",1,"TARU","PRWI"
"783","2011","Luxilus cornutus",29,"TARU","PRWI"
"784","2011","Nocomis micropogon",2,"TARU","PRWI"
"785","2011","Rhinichthys atratulus",67,"TARU","PRWI"
"786","2011","Semotilus atromaculatus",42,"TARU","PRWI"
"787","2021","Clinostomus funduloides",22,"TARU","PRWI"
"788","2021","Lepomis auritus",1,"TARU","PRWI"
"789","2021","Rhinichthys atratulus",53,"TARU","PRWI"
"790","2021","Semotilus atromaculatus",16,"TARU","PRWI"
"791","2011","Rhinichthys atratulus",8,"CARU","PRWI"
"792","2011","Semotilus atromaculatus",1,"CARU","PRWI"
"793","2021","Anguilla rostrata",6,"CARU","PRWI"
"794","2021","Clinostomus funduloides",18,"CARU","PRWI"
"795","2021","Lepomis auritus",1,"CARU","PRWI"
"796","2021","Lepomis gibbosus",1,"CARU","PRWI"
"797","2021","Lepomis macrochirus",1,"CARU","PRWI"
"798","2021","Rhinichthys atratulus",51,"CARU","PRWI"
"799","2021","Semotilus atromaculatus",12,"CARU","PRWI"
"800","2021","Semotilus corporalis",5,"CARU","PRWI"
"801","2012","Ameiurus natalis",5,"CHCK","WOTR"
"802","2012","Anguilla rostrata",3,"CHCK","WOTR"
"803","2012","Campostoma anomalum",72,"CHCK","WOTR"
"804","2012","Clinostomus funduloides",17,"CHCK","WOTR"
"805","2012","Cyprinella analostana",1,"CHCK","WOTR"
"806","2012","Etheostoma olmstedi",5,"CHCK","WOTR"
"807","2012","Lepomis auritus",1,"CHCK","WOTR"
"808","2012","Rhinichthys atratulus",307,"CHCK","WOTR"
"809","2012","Rhinichthys cataractae",83,"CHCK","WOTR"
"810","2012","Semotilus atromaculatus",48,"CHCK","WOTR"
"811","2022","Anguilla rostrata",2,"CHCK","WOTR"
"812","2022","Cambarus bartonii",13,"CHCK","WOTR"
"813","2022","Campostoma anomalum",3,"CHCK","WOTR"
"814","2022","Catostomus commersonii",2,"CHCK","WOTR"
"815","2022","Clinostomus funduloides",8,"CHCK","WOTR"
"816","2022","Etheostoma olmstedi",23,"CHCK","WOTR"
"817","2022","Eurycea bislineata",86,"CHCK","WOTR"
"818","2022","Lepomis auritus",1,"CHCK","WOTR"
"819","2022","Lepomis cyanellus",4,"CHCK","WOTR"
"820","2022","Lepomis gibbosus",2,"CHCK","WOTR"
"821","2022","Lithobates catesbeianus",1,"CHCK","WOTR"
"822","2022","Luxilus cornutus",7,"CHCK","WOTR"
"823","2022","Rana clamitans",3,"CHCK","WOTR"
"824","2022","Rhinichthys atratulus",262,"CHCK","WOTR"
"825","2022","Rhinichthys cataractae",45,"CHCK","WOTR"
"826","2022","Semotilus atromaculatus",70,"CHCK","WOTR"
"827","2011","Rhinichthys atratulus",40,"MARU","PRWI"
"828","2021","Rhinichthys atratulus",56,"MARU","PRWI"
"829","2021","Semotilus atromaculatus",2,"MARU","PRWI"
"830","2009","Anguilla rostrata",20,"DUOA","ROCR"
"831","2009","Lepomis macrochirus",1,"DUOA","ROCR"
"832","2009","Rhinichthys atratulus",149,"DUOA","ROCR"
"833","2019","Lepomis cyanellus",1,"DUOA","ROCR"
"834","2019","Rhinichthys atratulus",29,"DUOA","ROCR"
"835","2019","Rhinichthys cataractae",5,"DUOA","ROCR"
"836","2019","Semotilus atromaculatus",1,"DUOA","ROCR"
"837","2004","Ameiurus natalis",7,"ROC3","ROCR"
"838","2004","Anguilla rostrata",2,"ROC3","ROCR"
"839","2004","Catostomus commersonnii",61,"ROC3","ROCR"
"840","2004","Cyprinella spiloptera",3,"ROC3","ROCR"
"841","2004","Etheostoma olmstedi",32,"ROC3","ROCR"
"842","2004","Exoglossum maxillingua",1,"ROC3","ROCR"
"843","2004","Lepomis auritus",2,"ROC3","ROCR"
"844","2004","Notropis hudsonius",92,"ROC3","ROCR"
"845","2004","Notropis procne",74,"ROC3","ROCR"
"846","2004","Pimephales notatus",5,"ROC3","ROCR"
"847","2004","Rhinichthys atratulus",43,"ROC3","ROCR"
"848","2004","Rhinichthys cataractae",190,"ROC3","ROCR"
"849","2004","Semotilus corporalis",27,"ROC3","ROCR"
"850","2022","Anguilla rostrata",94,"ROC3","ROCR"
"851","2022","Etheostoma blennioides",6,"ROC3","ROCR"
"852","2022","Etheostoma olmstedi",3,"ROC3","ROCR"
"853","2022","Eurycea bislineata",1,"ROC3","ROCR"
"854","2022","Faxonius limosus",1,"ROC3","ROCR"
"855","2022","Gambusia holbrooki",1,"ROC3","ROCR"
"856","2022","Hypentelium nigricans",1,"ROC3","ROCR"
"857","2022","Lepomis auritus",6,"ROC3","ROCR"
"858","2022","Micropterus dolomieu",1,"ROC3","ROCR"
"859","2022","Notropis hudsonius",3,"ROC3","ROCR"
"860","2022","Percina peltata",1,"ROC3","ROCR"
"861","2022","Rhinichthys atratulus",1,"ROC3","ROCR"
"862","2022","Rhinichthys cataractae",73,"ROC3","ROCR"
"863","2009","Rhinichthys atratulus",1,"NOST","ROCR"
"864","2019","Ameiurus natalis",1,"NOST","ROCR"
"865","2019","Anguilla rostrata",1,"NOST","ROCR"
"866","2019","Semotilus atromaculatus",11,"NOST","ROCR"
"867","2011","Rhinichthys atratulus",185,"ORRU","PRWI"
"868","2009","Anguilla rostrata",9,"KLVA","ROCR"
"869","2009","Lepomis gibbosus",2,"KLVA","ROCR"
"870","2009","Rhinichthys atratulus",140,"KLVA","ROCR"
"871","2019","Anguilla rostrata",43,"KLVA","ROCR"
"872","2019","Rhinichthys atratulus",41,"KLVA","ROCR"
"873","2019","Semotilus atromaculatus",6,"KLVA","ROCR"
"874","2021","Anguilla rostrata",9,"BONE","PRWI"
"875","2021","Clinostomus funduloides",5,"BONE","PRWI"
"876","2021","Rhinichthys atratulus",90,"BONE","PRWI"
"877","2021","Semotilus atromaculatus",1,"BONE","PRWI"
"878","2021","Semotilus corporalis",5,"BONE","PRWI"
"879","2004","Campostoma anomalum",11,"ISCR","CHOH"
"880","2004","Catostomus commersonnii",2,"ISCR","CHOH"
"881","2004","Clinostomus funduloides",1,"ISCR","CHOH"
"882","2004","Cyprinella spiloptera",2,"ISCR","CHOH"
"883","2004","Etheostoma blennioides",5,"ISCR","CHOH"
"884","2004","Etheostoma caeruleum",5,"ISCR","CHOH"
"885","2004","Etheostoma flabellare",17,"ISCR","CHOH"
"886","2004","Etheostoma olmstedi",1,"ISCR","CHOH"
"887","2004","Hypentelium nigricans",1,"ISCR","CHOH"
"888","2004","Nocomis micropogon",19,"ISCR","CHOH"
"889","2004","Rhinichthys atratulus",25,"ISCR","CHOH"
"890","2004","Rhinichthys cataractae",87,"ISCR","CHOH"
"891","2004","Campostoma anomalum",2,"GRSR","CHOH"
"892","2004","Catostomus commersonnii",1,"GRSR","CHOH"
"893","2004","Cottus caeruleomentum",2,"GRSR","CHOH"
"894","2004","Cottus girardi",157,"GRSR","CHOH"
"895","2004","Etheostoma caeruleum",5,"GRSR","CHOH"
"896","2004","Etheostoma flabellare",5,"GRSR","CHOH"
"897","2004","Lepomis cyanellus",1,"GRSR","CHOH"
"898","2004","Margariscus margarita",1,"GRSR","CHOH"
"899","2004","Rhinichthys atratulus",8,"GRSR","CHOH"
"900","2004","Semotilus atromaculatus",11,"GRSR","CHOH"
"901","2004","Ameiurus natalis",5,"CABR","CHOH"
"902","2004","Campostoma anomalum",6,"CABR","CHOH"
"903","2004","Catostomus commersonnii",8,"CABR","CHOH"
"904","2004","Cyprinella spiloptera",135,"CABR","CHOH"
"905","2004","Etheostoma flabellare",1,"CABR","CHOH"
"906","2004","Etheostoma olmstedi",16,"CABR","CHOH"
"907","2004","Lepomis cyanellus",9,"CABR","CHOH"
"908","2004","Lepomis gibbosus",2,"CABR","CHOH"
"909","2004","Lepomis megalotis",6,"CABR","CHOH"
"910","2004","Micropterus salmoides",1,"CABR","CHOH"
"911","2004","Moxostoma erythrurum",1,"CABR","CHOH"
"912","2004","Notropis hudsonius",8,"CABR","CHOH"
"913","2004","Pimephales notatus",57,"CABR","CHOH"
"914","2004","Rhinichthys atratulus",1,"CABR","CHOH"
"915","2004","Semotilus atromaculatus",15,"CABR","CHOH"
"916","2004","Ameiurus natalis",1,"SVSR","CHOH"
"917","2004","Campostoma anomalum",171,"SVSR","CHOH"
"918","2004","Catostomus commersonnii",37,"SVSR","CHOH"
"919","2004","Cottus caeruleomentum",296,"SVSR","CHOH"
"920","2004","Cottus girardi",97,"SVSR","CHOH"
"921","2004","Cyprinella spiloptera",3,"SVSR","CHOH"
"922","2004","Etheostoma blennioides",21,"SVSR","CHOH"
"923","2004","Etheostoma caeruleum",121,"SVSR","CHOH"
"924","2004","Etheostoma flabellare",115,"SVSR","CHOH"
"925","2004","Etheostoma olmstedi",5,"SVSR","CHOH"
"926","2004","Hypentelium nigricans",1,"SVSR","CHOH"
"927","2004","Lepomis cyanellus",5,"SVSR","CHOH"
"928","2004","Luxilus cornutus",47,"SVSR","CHOH"
"929","2004","Micropterus dolomieu",1,"SVSR","CHOH"
"930","2004","Moxostoma erythrurum",13,"SVSR","CHOH"
"931","2004","Nocomis micropogon",1,"SVSR","CHOH"
"932","2004","Noturus insignis",3,"SVSR","CHOH"
"933","2004","Pimephales notatus",205,"SVSR","CHOH"
"934","2004","Rhinichthys atratulus",251,"SVSR","CHOH"
"935","2004","Rhinichthys cataractae",68,"SVSR","CHOH"
"936","2004","Semotilus atromaculatus",10,"SVSR","CHOH"
"937","2004","Semotilus corporalis",18,"SVSR","CHOH"
"938","2004","Ameiurus natalis",5,"MUBR","CHOH"
"939","2004","Anguilla rostrata",1,"MUBR","CHOH"
"940","2004","Campostoma anomalum",120,"MUBR","CHOH"
"941","2004","Catostomus commersonnii",28,"MUBR","CHOH"
"942","2004","Cottus caeruleomentum",17,"MUBR","CHOH"
"943","2004","Cottus girardi",88,"MUBR","CHOH"
"944","2004","Cyprinella spiloptera",1,"MUBR","CHOH"
"945","2004","Etheostoma blennioides",18,"MUBR","CHOH"
"946","2004","Etheostoma flabellare",111,"MUBR","CHOH"
"947","2004","Etheostoma olmstedi",12,"MUBR","CHOH"
"948","2004","Hypentelium nigricans",1,"MUBR","CHOH"
"949","2004","Ictalurus punctatus",2,"MUBR","CHOH"
"950","2004","Lepomis auritus",4,"MUBR","CHOH"
"951","2004","Lepomis cyanellus",4,"MUBR","CHOH"
"952","2004","Lepomis macrochirus",29,"MUBR","CHOH"
"953","2004","Micropterus salmoides",3,"MUBR","CHOH"
"954","2004","Moxostoma erythrurum",3,"MUBR","CHOH"
"955","2004","Noturus insignis",2,"MUBR","CHOH"
"956","2004","Pimephales notatus",87,"MUBR","CHOH"
"957","2004","Rhinichthys atratulus",44,"MUBR","CHOH"
"958","2004","Rhinichthys cataractae",77,"MUBR","CHOH"
"959","2004","Semotilus atromaculatus",1,"MUBR","CHOH"
"960","2004","Catostomus commersonnii",2,"ELRD","HAFE"
"961","2004","Etheostoma blennioides",1,"ELRD","HAFE"
"962","2004","Etheostoma caeruleum",12,"ELRD","HAFE"
"963","2004","Lepomis cyanellus",3,"ELRD","HAFE"
"964","2004","Lepomis gibbosus",1,"ELRD","HAFE"
"965","2004","Nocomis micropogon",1,"ELRD","HAFE"
"966","2004","Pimephales notatus",11,"ELRD","HAFE"
"967","2004","Rhinichthys atratulus",50,"ELRD","HAFE"
"968","2004","Semotilus corporalis",1,"ELRD","HAFE"
"969","2004","Ameiurus natalis",1,"ELRU","HAFE"
"970","2004","Campostoma anomalum",1,"ELRU","HAFE"
"971","2004","Catostomus commersonnii",2,"ELRU","HAFE"
"972","2004","Etheostoma caeruleum",7,"ELRU","HAFE"
"973","2004","Etheostoma flabellare",1,"ELRU","HAFE"
"974","2004","Lepomis cyanellus",12,"ELRU","HAFE"
"975","2004","Luxilus cornutus",2,"ELRU","HAFE"
"976","2004","Margariscus margarita",2,"ELRU","HAFE"
"977","2004","Pimephales notatus",12,"ELRU","HAFE"
"978","2004","Rhinichthys atratulus",27,"ELRU","HAFE"
"979","2004","Ameiurus natalis",3,"SGAM","MONO"
"980","2004","Anguilla rostrata",3,"SGAM","MONO"
"981","2004","Campostoma anomalum",73,"SGAM","MONO"
"982","2004","Catostomus commersonnii",10,"SGAM","MONO"
"983","2004","Cottus caeruleomentum",121,"SGAM","MONO"
"984","2004","Cottus girardi",19,"SGAM","MONO"
"985","2004","Cyprinella spiloptera",16,"SGAM","MONO"
"986","2004","Etheostoma blennioides",34,"SGAM","MONO"
"987","2004","Etheostoma caeruleum",4,"SGAM","MONO"
"988","2004","Etheostoma flabellare",8,"SGAM","MONO"
"989","2004","Etheostoma olmstedi",16,"SGAM","MONO"
"990","2004","Hypentelium nigricans",4,"SGAM","MONO"
"991","2004","Ictalurus punctatus",1,"SGAM","MONO"
"992","2004","Lepomis auritus",18,"SGAM","MONO"
"993","2004","Lepomis cyanellus",2,"SGAM","MONO"
"994","2004","Lepomis macrochirus",2,"SGAM","MONO"
"995","2004","Lepomis megalotis",1,"SGAM","MONO"
"996","2004","Micropterus dolomieu",3,"SGAM","MONO"
"997","2004","Notropis procne",1,"SGAM","MONO"
"998","2004","Notropis rubellus",1,"SGAM","MONO"
"999","2004","Pimephales notatus",14,"SGAM","MONO"
"1000","2004","Rhinichthys atratulus",95,"SGAM","MONO"
"1001","2004","Rhinichthys cataractae",208,"SGAM","MONO"
"1002","2004","Semotilus atromaculatus",2,"SGAM","MONO"
"1003","2004","Semotilus corporalis",6,"SGAM","MONO"
